"","APME","APTE","beetle_1","big_blk_red_wasp","black_oviwasp","black_red_beetle","black_white_beetle","black_yellow_beetle","BOCA","BOCR","BOMA","Bombus sp.","BOVO","brown_bomb","brown_moth","brown_Villa","CEPU","cobalt_beetle","COEU","cuc_beetle","darkbee","DIDU","duskywing","Eristolis","HALI","halictid","HATR","HETH","ICAC","LAIN","large_red_white_moth","MEGA","Melissodes sp.","MELU","MERO","narrow_ab_small_syrphid","red_blk_beetle","round_black_beetle","spotwing_fruit_fly","thrip","tiny_green_halictid","tiny_halicitid","tiny_LAIN","tiny_red_beetle","trla_bee","Villa","white_moth","white_straw_moth","Xylocopa sp.","XYTA"
"ACMI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASFA",6,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
"BREL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CESO",29,0,1,0,1,0,0,0,3,0,0,1,153,0,0,1,0,0,1,0,0,1,0,1,6,0,1,1,0,8,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ERLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"HECO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEEX",42,1,0,0,4,2,3,0,1,2,0,0,183,0,1,0,2,0,2,1,2,6,0,21,20,1,6,1,0,31,1,12,0,8,3,0,0,1,1,32,1,0,3,0,0,1,1,1,0,0
"HOMA",7,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9
"MEIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"PEKE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHAQ",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAVE",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VIVI",1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
