"","APME","APTE","beetle_1","black_red_beetle","black_skinny_beetle","black_wasp","blackbeetle","BOCA","BOVO","brown_bomb","COEU","DAPL","DIDU","duskywing","ERST","gnat","gold_fuzz_sab","goldfuzz","HALI","halictid","HATR","HATR_LAIN","HETH","ICAC","JUCO","LAIN","LATI","MEGA","mega_ash","Melissodes sp.","MELU","orange_blister_beetle","orange_skipper","red_beetle","red_black_fly","red_sab_calio","skinny_red_wasp","small_blk_bee","small_halictid","STME","syobeetle","UNK_BUTTERFLY","unkblackbee","UNKBOMB","vespid","Villa","weevil"
"ASFA",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAPA",0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CESO",263,1,0,0,0,0,1,1,181,0,0,2,0,2,0,0,0,1,10,0,3,0,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"ERLU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"ERNU",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESCA",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRCA",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,27,4,2,1,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HEAR",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HECO",0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,0,2,0,7,1,1,0,14,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0
"HEEX",170,4,1,1,0,0,0,1,161,0,1,0,7,1,11,1,3,0,71,9,5,1,2,16,1,2,0,4,2,1,13,2,2,1,0,0,0,0,1,8,0,1,0,1,3,3,0
"LERA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PEKE",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TRLA",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZETR",0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
