"","ANCA","APME","beetle_1","black_osmia","blackbee","blue","blue_osmia","BOED","BOVO","clickbeetle","COTU","EUAC","Hapbropoda","OSCA","Osmia sp.","SAB","shiny_black_beetle","silvery_blue","UNKBEE","Xylocopa sp."
"AMME",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DICA",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERGU",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"EUSP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HIIN",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LACA",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"PLER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"TRFU",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"TRLA",0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VIVI",4,32,0,1,1,1,1,1,1,0,1,1,2,7,1,1,0,2,0,1
