"","Anastrangalia_laetifca","Anthrenus_sp.","Apis_mellifera","Ashmeadiella_aridula_astragali","Autographa_californica","Bombus_californicus","Bombus_crotchii","Bombus_sp.","Bombus_vosnesenskii","Bombus-melanopygus","Braconidae","Buprestidae","Ceratina_punctigena","Coenonympha_californica","Colias_eurytheme","Curculionidae","Dianthidium_dubium","Epicauta_puncticollis","Eristalis_stipador","Erynnis_tristus","Euodyneras_hidalgo","gray_Bombyliidae","Halictidae","Halictus_farinosus","Halictus_ligatus","Halictus_tripartitus","Heliolonche_modicella","Heliopetes_ericetorum","Heliothis_phloxiphaga","Heliothodes_diminutivus","Hippodamia_convergens","Icaricia_acmon","Junonia_grisea","Lasioglossum_incompletum","Megachile_apicalis","Megachile-mimic_Syrphidae","Melissodes_lupina","Nemognatha_scutellaris","Panurginus_sp.","Polistes_aurifer","silver_moth_Lepidoptera","Strymon_melinus","Tachinidae","Triepeolus_utahensis","Villa_sp.","white_moth_Lepidoptera"
"ASER",0,0,2,0,0,0,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASFA",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CESO",0,0,63,1,1,3,5,0,316,0,1,0,1,1,11,0,0,0,5,1,0,0,0,0,4,1,0,6,2,0,0,0,1,7,5,2,4,1,0,1,0,0,0,0,1,0
"CLGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ERLA",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRCA",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,1,4,3,0,0,0,3,0,0,0,14,0,0,9,0,0,0,0,0,0,2,0,0
"HECO",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
"HEEX",0,0,10,0,1,0,1,1,35,1,1,1,0,0,4,0,4,0,6,4,1,0,2,0,27,2,2,2,3,6,0,0,0,18,1,0,13,5,0,0,2,0,0,0,1,1
"LULU",0,0,0,0,0,1,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PEKE",1,5,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,11,0,0,0,0,2,0,0,0,3,0,0,0,9,0,0,0,0,0,3,0,1,5,0,0,0
"SAVE",0,0,0,0,0,13,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRLA",0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZETR",0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
