"","Agapostemon_subtilior","Anthrenus_sp.","Apis_mellifera","BF1_Diptera","Bombus_californicus","Bombus_sp.","Bombus_vosnesenskii","Calypte_anna","Ceratina_punctigena","Chrysochus_colbaltinus","Colias_eurytheme","Curculionidae","Danaus_plexippus","Dianthidium_dubium","Epicauta_puncticollis","Erynnis_propertius","Erynnis_tristus","Euodyneras_hidalgo","Halictidae","Halictus_farinosus","Halictus_ligatus","Halictus_tripartitus","Icaricia_acmon","Junonia_grisea","Lasioglossum_incompletum","Lasioglossum_titusi","Listrus_sp.","Megachile_apicalis","Melissodes_lupina","Melissodes_robustior","Nemognatha_scutellaris","Nomada_obscurella","Nomada_vegana","Ochlodes_sp.","Phycoides_mytilla","Polistes_aurifer","Polistes_dorsalis","Prionyx_sp.","Sphex_ashmeadi","Sphex_ichneumoneus","Sphex_sp.","Strymon_melinus","Tetraopes_basalis","Thysanoptera","white_moth_Lepidoptera","Xeromelecta_californica","Xylocopa_tabiformis"
"ACAM",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASFA",0,0,30,0,0,0,7,0,0,1,0,0,10,0,0,0,0,7,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,1,1,12,0,0,16,1,0,1,4,0,0,0,0
"CESO",28,2,22,0,0,0,7,0,0,0,2,0,0,1,0,0,0,0,0,0,39,0,1,0,1,1,1,88,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CIVU",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ERNU",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRCA",3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HECO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEEX",54,1,52,1,3,0,19,1,1,0,0,0,0,35,26,3,2,0,1,0,118,1,0,0,17,7,0,3,38,1,17,0,1,1,0,1,2,1,0,0,0,0,0,7,6,1,0
"HOMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SOCA",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAL",0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ZETR",1,0,181,0,2,1,92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
