"","Acmaeodera_sp.","Anthophora_californica","Anthrenus_sp.","Apis_mellifera","Bombus_californicus","Bombus_crotchii","Bombus_melanopygus","Bombus_sp.","Bombus_vosnesenskii","Braconidae","Conophorus_fenestratus","Eristalis_hirta","Eucera_actuosa","Eucera_frater_albopilosa","Halictus_tripartitus","Hippodamia_convergens","Lasioglossum_incompletum","Listrus_sp._1","Muscidae","Osmia_sanctaerosae","Osmia_sp.","Panurginus_sp.","Scaeva_affinis","Scathophaga_stercoraria"
"CHGL",3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
"CRHI",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ERGU",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"ERHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ESCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"GITR",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"LUSU",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"PHTA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VIVI",0,5,0,88,6,1,9,3,13,1,0,0,2,2,0,2,0,0,1,2,0,0,3,1
