"Network","Jaccard_Value"
"Bertha_2022",0.05
"Randy_2022",0.333333333333333
"Quarry_Close_2022",0.342857142857143
"Quarry_Far_2022",0.235294117647059
"Banana_2022",NA
"Lower_Banana_2022",NA
"Aikawa_2022",0.0869565217391304
"Vineyard_2022",0.5
"Pond_2022",0.285714285714286
"Bertha_2023",0.472222222222222
"Randy_2023",0.0454545454545455
"Pond_2023",0.424242424242424
"Quarry_Close_2023",0.27027027027027
"Quarry_Far_2023",0.285714285714286
"Bertha_2024",0.368421052631579
"Vineyard_2024",0.260869565217391
"Pond_2024",0.0526315789473684
"Quarry_Close_2024",0.347826086956522
"Quarry_Far_2024",0.3
