"Network","Sorensen_Value"
"Bertha_2022",0.0952380952380952
"Randy_2022",0.5
"Quarry_Close_2022",0.51063829787234
"Quarry_Far_2022",0.380952380952381
"Banana_2022",NA
"Lower_Banana_2022",NA
"Aikawa_2022",0.16
"Vineyard_2022",0.666666666666667
"Pond_2022",0.444444444444444
"Bertha_2023",0.641509433962264
"Randy_2023",0.0869565217391304
"Pond_2023",0.595744680851064
"Quarry_Close_2023",0.425531914893617
"Quarry_Far_2023",0.444444444444444
"Bertha_2024",0.538461538461538
"Vineyard_2024",0.413793103448276
"Pond_2024",0.1
"Quarry_Close_2024",0.516129032258065
"Quarry_Far_2024",0.461538461538462
