"pollinator","full_visits","serp_visits","nonserp_visits","full_degree","serp_degree","nonserp_degree","full_specialization","serp_specialization","nonserp_specialization","network_name"
"Acmaeodera_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","_2023_spring"
"Apis_mellifera",2,2,0,1,1,0,"specialist","specialist","generalist","_2023_spring"
"Adela_eldorada",4,4,0,3,3,0,"generalist","generalist","generalist","Aikawa_2022_spring"
"Adela_flammeusella",4,4,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_spring"
"Adela_trigrapha",2,2,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_spring"
"Andrena_baeriae",2,2,0,2,2,0,"generalist","generalist","generalist","Aikawa_2022_spring"
"Andrena_dissona",5,5,0,3,3,0,"generalist","generalist","generalist","Aikawa_2022_spring"
"Andrena_pensilis",4,4,0,3,3,0,"generalist","generalist","generalist","Aikawa_2022_spring"
"Andrena_sp.",10,10,0,3,3,0,"generalist","generalist","generalist","Aikawa_2022_spring"
"Andrena_subchalybea",15,15,0,3,3,0,"generalist","generalist","generalist","Aikawa_2022_spring"
"Anthophora_californica",6,0,6,1,0,1,"specialist","generalist","specialist","Aikawa_2022_spring"
"Apis_mellifera",322,291,31,5,4,1,"generalist","generalist","specialist","Aikawa_2022_spring"
"APME-mimic_Syrphid",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_spring"
"black_white_moth_Lepidoptera",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_spring"
"Bombus_californicus",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_spring"
"Bombus_crotchii",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_spring"
"Bombus_melanopygus",25,15,10,3,2,1,"generalist","generalist","specialist","Aikawa_2022_spring"
"Bombus_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_spring"
"Bombus_vosnesenskii",90,75,15,5,4,1,"generalist","generalist","specialist","Aikawa_2022_spring"
"Bombylius_major",9,8,1,6,5,1,"generalist","generalist","specialist","Aikawa_2022_spring"
"Braconidae",4,4,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_spring"
"brown_moth_Lepidoptera",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_spring"
"Chrysis_angolensis",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_spring"
"Colias_eurytheme",1,0,1,1,0,1,"specialist","generalist","specialist","Aikawa_2022_spring"
"Conophorus_fenestratus",4,4,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_spring"
"Cylindromyia sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_spring"
"Diadasia_nigrifrons",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_spring"
"Elateridae",2,2,0,2,2,0,"generalist","generalist","generalist","Aikawa_2022_spring"
"Eristalis_hirta",3,3,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_spring"
"Eucera_actuosa",8,6,2,2,1,1,"generalist","specialist","specialist","Aikawa_2022_spring"
"Eucera_frater_albopilosa",6,2,4,3,1,2,"generalist","specialist","generalist","Aikawa_2022_spring"
"Euopeodes_fumipennis",10,10,0,7,7,0,"generalist","generalist","generalist","Aikawa_2022_spring"
"Glaucophysche_lygdamus",2,0,2,1,0,1,"specialist","generalist","specialist","Aikawa_2022_spring"
"Habropoda_trissema",1,0,1,1,0,1,"specialist","generalist","specialist","Aikawa_2022_spring"
"Heliolonche_modiella",38,38,0,5,5,0,"generalist","generalist","generalist","Aikawa_2022_spring"
"Helithodes_dimutiva",6,5,1,3,2,1,"generalist","generalist","specialist","Aikawa_2022_spring"
"Hippodamia_convergens",6,6,0,3,3,0,"generalist","generalist","generalist","Aikawa_2022_spring"
"Junonia_grisea",13,12,1,9,8,1,"generalist","generalist","specialist","Aikawa_2022_spring"
"Listrus_sp._1",43,42,1,7,6,1,"generalist","generalist","specialist","Aikawa_2022_spring"
"Muscidae",4,3,1,2,1,1,"generalist","specialist","specialist","Aikawa_2022_spring"
"Osmia_cara",10,7,3,4,3,1,"generalist","generalist","specialist","Aikawa_2022_spring"
"Osmia_sp.",3,3,0,2,2,0,"generalist","generalist","generalist","Aikawa_2022_spring"
"Panurginus_sp.",2,2,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_spring"
"Polistes_aurifer",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_spring"
"Prosperpinus_clarkiae",1,0,1,1,0,1,"specialist","generalist","specialist","Aikawa_2022_spring"
"Scaeva_affinis",16,14,2,6,4,2,"generalist","generalist","generalist","Aikawa_2022_spring"
"silver_moth_Lepidoptera",3,2,1,2,1,1,"generalist","specialist","specialist","Aikawa_2022_spring"
"small_gray_black_moth_Lepidoptera",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_spring"
"Anthophora_sp.",2,2,0,2,2,0,"generalist","generalist","generalist","Aikawa_2022_summer"
"Apis_mellifera",23,23,0,4,4,0,"generalist","generalist","generalist","Aikawa_2022_summer"
"Autographa_californica",2,2,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_summer"
"Bombus_californicus",2,2,0,2,2,0,"generalist","generalist","generalist","Aikawa_2022_summer"
"Bombus_vosnesenskii",325,320,5,14,13,1,"generalist","generalist","specialist","Aikawa_2022_summer"
"Bombylius_major",1,0,1,1,0,1,"specialist","generalist","specialist","Aikawa_2022_summer"
"Braconidae",6,6,0,3,3,0,"generalist","generalist","generalist","Aikawa_2022_summer"
"Ceratina_punctigena",8,8,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_summer"
"Colias_eurytheme",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_summer"
"Danaus_plexippus",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_summer"
"Dianthidium_dubium",3,3,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_summer"
"Epicauta_puncticollis",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_summer"
"Eristalis_stipador",3,3,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_summer"
"Erynnis_tristus",2,2,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_summer"
"Geron_sp.",2,2,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_summer"
"Halictidae",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_summer"
"Halictus_ligatus",9,9,0,2,2,0,"generalist","generalist","generalist","Aikawa_2022_summer"
"Halictus_tripartitus",7,7,0,4,4,0,"generalist","generalist","generalist","Aikawa_2022_summer"
"Heliolonche_modicella",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_summer"
"Heliopetes_ericetorum",2,2,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_summer"
"Heliothodes_diminutivus",8,7,1,2,1,1,"generalist","specialist","specialist","Aikawa_2022_summer"
"Icaricia_acmon",10,10,0,5,5,0,"generalist","generalist","generalist","Aikawa_2022_summer"
"Junonia_grisea",3,3,0,2,2,0,"generalist","generalist","generalist","Aikawa_2022_summer"
"Lasioglossum_incompletum",3,3,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_summer"
"Lasioglossum_titusi",3,3,0,2,2,0,"generalist","generalist","generalist","Aikawa_2022_summer"
"Megachile_apicalis",2,1,1,2,1,1,"generalist","specialist","specialist","Aikawa_2022_summer"
"Megachile-mimic_Syrphidae",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_summer"
"Melissodes_lupina",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_summer"
"Melissodes_robustior",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_summer"
"Nomada_vegana",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_summer"
"Strymon_melinus",5,5,0,3,3,0,"generalist","generalist","generalist","Aikawa_2022_summer"
"Villa_sp.",4,3,1,2,1,1,"generalist","specialist","specialist","Aikawa_2022_summer"
"white_moth_Lepidoptera",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_summer"
"Xeromelecta_californica",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2022_summer"
