Year,Month,Day,StartTime,StopTime,Transect_ID,Site,Patch_ID,Plant_Species,Floral_Abundance ,,
2022,7,5,3_04,3_12,1,Bertha,Woollypod,ASER,30,,
2022,7,5,3_32,4_09,1,Pond,S1,ASER,2,,
2022,7,6,1_10,1_36,1,Bertha,,ASER,40,see yesteday's estimate,
2022,7,15,7_59,8_05,1,Road,woollypod,ASER,15,,
2022,7,16,12_29,12_56,1,Bertha,Lulu/woolly,ASER,5,,
2022,7,18,12_22,12_34,2,Bertha,woollypod,ASER,3,,
2022,7,13,11_47,12_19,1,Bertha,woollypod,ASER,25,,
2022,7,12,8_13,8_23,1,Road,woollypod,ASER,23,,
2022,7,12,8_44,9_05,1,Bertha,woollypod,ASER,15,,
2022,7,12,9_26,10_06,1,Pond,Y1,ASER,10,,
2022,7,15,,,2,Bertha,woollypod,ASER,6,,
2022,7,7,12_13,12_23,1,Road,woollypod,ASER,20,,
2022,7,7,2_51,,1,Bertha,woollypod,ASER,30,,
2022,7,4,3_31,3_59,2,Quarry,QS3_upper,ASFA,16,,
2022,7,5,3_14,3_21,2,Bertha,Butter,ASFA,10,,
2022,7,5,3_32,4_09,1,Pond,S1,ASFA,35,,
2022,7,5,4_18,4_49,1,Vineyard,,ASFA,20,,
2022,7,6,1_10,1_36,1,Bertha,,ASFA,10,,
2022,7,19,9_59,11_14,1,Banana_Pond,,ASFA,6,,
2022,7,18,9_57,10_11,1,Pond,S1,ASFA,25,,
2022,7,18,8_06,8_51,1,Aikawa,S_main,ASFA,3,,
2022,7,17,11_10,12_44,1,Quarry,Q3_seep,ASFA,1,,
2022,7,16,12_29,12_56,1,Bertha,seep,ASFA,6,,
2022,7,16,11_11,11_47,1,Banana_Pond,,ASFA,10,,
2022,7,18,10_36,11_10,1,Vineyard,,ASFA,4,,
2022,7,18,11_44,12_17,1,Bertha,seep,ASFA,10,,
2022,7,13,11_47,12_19,1,Bertha,,ASFA,4,,
2022,7,13,10_25,11_11,1,Banana_Pond,,ASFA,4,,
2022,7,13,1_11,1_45,1,Aikawa,,ASFA,5,,
2022,7,12,8_44,9_05,1,Bertha,woollypod,ASFA,5,,
2022,7,12,9_26,10_06,1,Pond,Y1,ASFA,20,,
2022,7,12,10_35,11_26,1,Vineyard,,ASFA,10,,
2022,7,15,8_42,,1,Vineyard,,ASFA,6,,
2022,7,15,10_11,10_56,1,Pond,S1,ASFA,20,,
2022,7,15,,,1,Bertha,,ASFA,2,,
2022,7,15,,,2,Bertha,woollypod,ASFA,10,,
2022,7,7,12_48,1_42,1,Vineyard,S1,ASFA,8,,
2022,7,7,1_52,2_32,1,Pond,,ASFA,25,,
2022,7,7,2_51,,1,Bertha,woollypod,ASFA,20,,
2022,7,8,8_09,8_52,1,Aikawa,A1,ASFA,10,,
2022,7,6,12_21,12_53,1,Aikawa,A1,ASFA,10,,
