"","Anthophora_sp.","Apis_mellifera","Autographa_californica","Bombus_californicus","Bombus_vosnesenskii","Bombylius_major","Braconidae","Ceratina_punctigena","Colias_eurytheme","Danaus_plexippus","Dianthidium_dubium","Epicauta_puncticollis","Eristalis_stipador","Erynnis_tristus","Geron_sp.","Halictidae","Halictus_ligatus","Halictus_tripartitus","Heliolonche_modicella","Heliopetes_ericetorum","Heliothodes_diminutivus","Icaricia_acmon","Junonia_grisea","Lasioglossum_incompletum","Lasioglossum_titusi","Megachile_apicalis","Megachile-mimic_Syrphidae","Melissodes_lupina","Melissodes_robustior","Nomada_vegana","Strymon_melinus","Villa_sp.","white_moth_Lepidoptera","Xeromelecta_californica","Xylocopa_sp."
"ASFA",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0
"CAPA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CESO",0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"ERLA",0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERLU",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERNU",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRCA",0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"HECO",0,0,0,0,12,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,3,0,0,0
"HEEX",0,12,2,0,62,0,0,8,1,1,3,0,3,0,2,1,8,2,0,2,0,2,2,3,2,1,0,1,0,0,0,0,0,0,0
"HOMA",0,5,0,0,42,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8
"HOVI",0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"LERA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LULU",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"SAVE",1,0,0,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAL",1,1,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
