"","Acmaeodera_sp.","Adela_flammeusella","Adela_trigrapha","Andrena_dissona","Andrena_pallidifovea","Andrena_pensilis","Andrena_sp.","Andrena_subchalybea","Anthophora_californica","Anthophora_crotchii","Anthrenus_sp.","Apis_mellifera","BF1_Diptera","Bombus_californicus","Bombus_melanopygus","Bombus_sp.","Bombus_vosnesenskii","Bombylius_major","Braconidae","Coenonympha_californica","Cyrtopogon_sp.","Elateridae","Erynnis_propertius","Eucera_actuosa","Eucera_frater_albopilosa","Glaucophysche_lygdamus","Heliolonche_modiella","Helithodes_dimutiva","Ichneumonidae","Listrus_sp._1","Malachius_sp.","Muscidae","Nomada_hesperia","Osmia_cara","Osmia_nemoris","Osmia_sp.","Panurginus_sp.","Polistes_aurifer","reddish_Sphaerophoria_sp.","Scaeva_affinis","Sphaerophoria_sp.","Sphex_sp.","Xylocopa_sonorina","Xylocopa_tabaniformis"
"AGHE",0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CADE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"DICA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LACA",2,1,2,3,0,4,7,9,0,0,5,2,59,0,0,0,1,45,0,14,47,0,1,1,0,0,1,5,0,65,3,2,9,0,0,0,2,2,0,0,2,0,0,0
"LAMI",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIDO",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"PLNO",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RACA",2,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRFU",0,0,0,0,7,0,0,0,4,0,0,54,1,35,14,1,133,3,0,42,2,1,0,57,3,7,0,1,1,27,0,3,0,58,5,10,0,0,1,1,1,0,0,1
"TRLA",0,0,0,1,2,0,2,1,0,0,0,9,0,1,1,0,4,3,0,3,0,0,0,0,2,0,0,1,0,31,0,0,0,5,2,1,0,0,0,1,0,0,0,0
"URLI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VIVI",0,0,0,0,0,0,0,0,1,1,0,231,0,17,86,0,40,0,0,5,0,0,1,4,1,4,0,0,0,0,0,1,0,2,0,2,0,0,0,0,1,1,1,0
