"","Adela_eldorada","Adela_flammeusella","Adela_sp.","Adela_trigrapha","Andrena_baeriae","Andrena_dissona","Andrena_pensilis","Andrena_sp.","Andrena_subchalybea","Andrena-mimic_Syrpid","Anthidium_illustre","Anthophora_californica","Apis_mellifera","Bombus_californicus","Bombus_melanopygus","Bombus_vosnesenskii","Bombylius_major","Braconidae","Chrysoperla_sp.","Coenonympha_californica","Colias_eurytheme","Conophorus_fenestratus","Cyrtopogon_sp.","Diadasia_nigrifrons","Elateridae","Erynnis_sp.","Eucera_actuosa","Eucera_frater_albopilosa","Euopeodes_fumipennis","Habropoda_sp.","Heliolonche_modiella","Helithodes_dimutiva","Hippodamia_convergens","Junonia_grisea","Listrus_sp.","Listrus_sp._1","Muscidae","Nomada_hesperia","Osmia_cara","Panurginus_sp.","Polistes_aurifer","red_Braconidae","Scaeva_affinis","silver_moth_Lepidoptera","Xylocopa_sp."
"AGHE",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0
"AMME",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
"ANFI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"CASAN",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ERCI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EUSP",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"GITR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"LACA",2,1,1,1,11,5,34,30,62,3,0,3,1,0,1,0,1,4,0,1,0,31,11,1,3,0,0,0,15,0,4,4,1,2,0,42,5,17,0,7,1,1,28,1,1
"LUBI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"LUMI",0,3,0,0,0,0,0,0,0,0,2,9,0,1,2,2,3,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,2,2,2,2,1,0,1,0,0,0,3,0,0
"LUNA/LUBI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUSU",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"PLER",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
"PLNO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RACA",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"TRFU",0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,5,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"TRHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"VIVI",0,0,0,0,0,0,0,0,0,0,0,4,12,2,10,13,0,0,1,0,2,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0
