"","APME","black_bee","black_oviwasp","black_red_beetle","black_weevil","blk_rd_fly","BOCA","BOCR","BOED","Bombus sp.","BOVO","brown_bomb","brown_moth","brown_stripey_moth","burpestid","CEPU","COEU","COTU","DIDU","duskywing","Eristolis","gold_red_wasp","gray_bomb","HALI","HALI_LATI","HATR","HEER","HETH","Hidalgo","ICAC","JUCO","ladybug","LAIN","large_black_beetle","med_by_wasp","MEGA","MEGA_FLY","Melissodes sp.","MELU","pale_melissodes","PANUR","pink_brown_moth","rd_ab_fly_blk","red_ab_tachnid","red_beetle","red_black_fly","round_black_beetle","silver_moth","small_black_ovi_wasp","small_black_syr","small_halictid","small_MEGA","spotted_fuzz_moth","STME","tiny_LAIN","trla_bee","UN_SYR","unk_halictid","vespid","Villa","white_moth"
"ASER",2,0,0,0,0,0,0,66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASFA",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CESO",63,0,1,0,0,0,3,5,0,0,316,0,0,1,0,1,11,1,0,1,5,0,0,4,0,1,6,0,0,0,1,0,7,0,0,4,1,0,4,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,2
"CLGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERGU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ERLA",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRCA",0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,3,0,3,0,0,0,0,14,0,0,0,0,7,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"HECO",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"HEEX",10,0,1,0,0,0,0,1,1,1,35,1,1,0,1,0,4,0,4,4,6,0,0,27,0,2,2,6,1,0,0,0,18,0,0,1,0,0,13,0,0,2,0,0,5,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,1
"LULU",0,0,0,0,0,0,1,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PEKE",2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,3,8,0,0,0,9,1,1,0,0,0,0,0,0,0,1,1,0,2,5,0,2,0,0,0,0,1,0,0,0,0,2,0,0
"SAVE",0,0,0,0,0,0,13,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRLA",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ZETR",0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
