"","Acmaeodera_sp.","Adela_eldorada","Andrena_dissona","Andrena_pallidifovea","Andrena_pensilis","Andrena_sp.","Andrena_subchalybea","Anthophora_californica","Anthrenus_sp.","Apis_mellifera","BF1_Diptera","BF3_Diptera","blue_beetle_Coleoptera","Bombus_californicus","Bombus_melanopygus","Bombus_vosnesenskii","Bombylius_major","Calypte_anna","Chrysoperla_sp.","Coenonympha_californica","Cyrtopogon_sp.","Elateridae","Eucera_actuosa","Euopeodes_fumipennis","Glaucophysche_lygdamus","Heliolonche_modiella","Helithodes_dimutiva","Listrus_sp._1","Malachius_sp.","Nomada_hesperia","Nomada_obscurella","Osmia_nemoris","Panurginus_sp.","red_Pterophoridae","SAB_black_Syrphid","Scaeva_affinis","Sphaerophoria_sp.","Syrphidae","Tachnidae","Xylocopa_sonorina","Xylocopa_sp."
"ACMO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AGHE",0,0,2,0,2,1,28,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,5,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0
"DEHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEVA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"LACA",1,1,2,2,20,4,8,0,2,0,124,1,0,0,0,1,37,0,1,11,5,0,0,2,0,2,10,20,6,15,1,0,42,1,3,1,1,4,3,0,0
"LACH",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUBI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RACA",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0
"SIBE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
"TRFU",0,0,0,3,0,0,0,1,0,5,0,0,0,1,0,19,1,0,0,1,0,0,11,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,3,3
"TRLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"VIVI",0,0,0,0,0,0,0,0,0,6,0,0,0,0,50,6,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
