"","Apis_mellifera","Argynnis","Bombus_californicus","Bombus_vosnesenskii","Brachysomida_californica","Braconidae","brown_moth_Lepidoptera","Calypte_anna","Ceratina_punctigena","Colias_eurytheme","Curculionidae","Danaus_plexippus","Epicauta_puncticollis","Eristalis_stipador","Erynnis_tristus","Eupeodes_fumipennis","Halictidae","Halictus_farinosus","Halictus_ligatus","Halictus_tripartitus","Heliopetes_ericetorum","Heliothodes_diminutivus","Icaricia_acmon","Junonia_grisea","Lasioglossum_helianthi","Lasioglossum_incompletum","Megachile_apicalis","Melissodes_lupina","Melissodes_robustior","Muscidae","Nemognatha_scutellaris","Phycoides_mytilla","Strymon_melinus","Tharsalea_xanthoides","Trichodes_ornatus","Vanessa_virginiensis","Villa_sp.","white_moth_Lepidoptera","Xeromelecta_californica"
"CAPA",0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,2,0,0,0,1,0,3,0,3,0,0,0,0,0,0,1,0,0
"Clarkia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"GRCA",0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HECO",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,8,0,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0
"HECU",1,2,0,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,7,5,0,1,0,0,0,0,0,0,11,1,0,0,1,2,0
"HEEX",60,0,2,210,0,1,0,1,1,5,0,1,1,10,0,1,0,1,8,1,3,0,0,0,0,0,4,38,1,0,4,1,0,0,0,6,2,2,2
"HETR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAVE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZETR",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
