"","Agapostemon_subtilior","Anastrangalia_laetifca","Anthrenus_sp.","Apis_mellifera","Ashmeadiella_aridula_astragali","Autographa_californica","Bombus_californicus","Bombus_crotchii","Bombus_sp.","Bombus_vosnesenskii","Bombylius_major","Brachynomada_melanantha","Braconidae","Ceratina_punctigena","Chrysochus_colbaltinus","Colias_eurytheme","Diabrotica_undecimpunctata","Dianthidium_dubium","Drosophilidae","Eristalis_stipador","Erynnis_tristus","Halictidae","Halictus_ligatus","Halictus_tripartitus","Heliothis_phloxiphaga","Heliothodes_diminutivus","Icaricia_acmon","Lasioglossum_incompletum","Listrus_sp_1","Megachile_apicalis","Megachile_sp.","Melissodes_lupina","Melissodes_robustior","Osmia_nemoris","small_narrow_ab_Syrphidae","Sphex_ashmeadi","Thysanoptera","Trichodes_ornatus","Villa_sp.","white_moth_Lepidoptera","Xylocopa_sp.","Xylocopa_tabiformis"
"ACMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ASFA",0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,3
"BREL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CESO",0,0,1,29,0,0,3,0,1,153,0,0,1,0,0,1,0,1,0,1,0,0,6,1,0,1,0,8,1,7,0,1,0,0,0,0,0,0,1,0,0,0
"ERLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"HECO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEEX",1,2,4,42,0,1,1,2,0,183,0,1,4,2,0,2,1,6,1,21,0,3,20,6,2,1,0,32,0,11,1,10,3,0,0,0,32,0,1,1,0,0
"HOMA",0,0,0,7,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9
"MEIN",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PEKE",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHAQ",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAVE",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VIVI",0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
