"","ADEL","AGTE","ANCA","Andrena sp.","ANLE","ANPE","Anth_Syr","aphideater","APME","APTE","beetle_1","big_gray_listrus","Black_fly_1","black_lh_beetle","black_robber_fly","blue_black_osmia","BOCA","BOED","BOMA","BOVO","buprestid","by_ornate_beetle","calligrapher","checkerspot","COEU","COFE","convergent_ladybeetle","COTU","cucumber_beetle","dark_andrena","diadasia","duskywing","ERHI","eristolis","EUAC","EUAL","Eupeodes","fuzzy_bee","gray_eual_apid","gray_listrus","gray_sab_bee","green_fuzzy_andrena","green_osmia","Hapbropoda","heliopetes ericetorum","HETH","LAIN","Listrus_beetle","med_sab_bee","muscid","mytilla_crescent","N_checkerspot","orange_soldier_beetle","OSCA","OSGL","Osmia sp.","Osmia_sp.","osmia/andrena","PANUR","RAB_bee","red_black_beetle","red_lh_beetle","red_sab","red_spotted_beetle","reddish_nomada","round_black_beetle","SAB","skinny_gray_fly","skinny_gray_moth","small_gray_bomb","small_gray_fly","small_red_ab_wasp","small_shiny_gold_bee","thrip","tiny_black_beetle","tiny_blk_beetle","tiny_fly","UNIN","UNK_black_bee","UNKBEE","variable_checkerspot"
"ACBR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AGHE",2,0,0,8,28,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ALAM",1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANFI",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARU",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CASU",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"DEUL",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DICA",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERGU",14,0,4,0,1,0,0,0,1,0,4,0,0,0,0,1,0,2,1,4,0,0,0,2,0,1,1,1,0,0,3,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,4,0,8,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,2,1
