"","Adela_eldorada","Adela_trigrapha","Andrena_baeriae","Andrena_sp.","Andrena_subchalybea","Annaphila_decia","Anthophora_californica","Apis_mellifera","BF1_Diptera","Bombus_californicus","Bombus_crotchii","Bombus_melanopygus","Bombus_vosnesenskii","Bombylius_major","Chrysis_angolensis","Chrysoperla_sp.","Coenonympha_californica","Conophorus_fenestratus","Cylindromyia sp.","Cyrtopogon_sp.","Elateridae","Eristalis_hirta","Erynnis_propertius","Eucera_actuosa","Eucera_frater_albopilosa","Eucera_sp.","Euopeodes_fumipennis","Euphydryas_chalcedona","Glaucophysche_lygdamus","Halictus_ligatus","Heliolonche_modiella","Helithodes_dimutiva","Junonia_grisea","Listrus_sp._1","Muscidae","Nomada_hesperia","Osmia_cara","Osmia_nemoris","Osmia_sp.","Panurginus_sp.","Phychoides_mytilla","Prosperpinus_clarkiae","Scaeva_affinis"
"ACBR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AGHE",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"ASJE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,1,1,13,0,0,0,0,0
"Asteraceae sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARU",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"CRHI",0,0,1,6,6,3,0,0,0,0,0,0,0,1,0,0,1,55,1,5,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,35,0,0,0,0,1,0,0
"DICA",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"ERCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ERGU",1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0
"ERLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ESCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"EUSP",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LACA",0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"LUMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"LUSU",0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
"PLER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SIBE",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TOFR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRFU",0,0,0,0,0,0,5,366,0,2,1,7,23,1,0,1,0,1,0,0,1,0,0,3,3,0,0,0,0,0,0,1,0,0,1,0,6,0,1,1,1,1,0
"VIVI",0,0,0,0,0,0,3,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
