"","Acmaeodera_sp.","Adela_eldorada","Andrena_pensilis","Andrena_sp.","Andrena_subchalybea","Andrena-mimic_Syrpid","Apis_mellifera","BF1_Diptera","big_blue_butterfly_Lepidoptera","Bombus_melanopygus","Bombylius_major","brown_moth_Lepidoptera","Coenonympha_californica","Conophorus_fenestratus","Diadasia_nigrifrons","Elateridae","Eristalis_hirta","Eucera_actuosa","Euopeodes_fumipennis","gray_Bombyliidae","Heliolonche_modiella","Helithodes_dimutiva","Listrus_sp._1","Malachius_sp.","Muscidae","Nomada_hesperia","Osmia_atrocyanea","Osmia_sanctaerosae","Panurginus_sp.","Scaeva_affinis","silver_moth_Lepidoptera","Trichodes_ornatus"
"AGHE",1,0,2,2,56,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,1,23,3,0,0,0,0,0,2,1,0
"ANFI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHGL",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"CRHI",0,0,0,0,0,0,0,0,0,0,5,0,1,15,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0
"DICA",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERGU",0,2,0,0,0,0,1,0,0,3,3,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,2,2,0,0,0,0
"ESCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
"GITR",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LACA",0,1,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0,0,0,0,0,0,0
"LUAL",0,0,0,0,0,0,1,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
"Sidalcea_sp.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"VIVI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
