"site","VIVI","TRFU"
"Bertha_2022",0.005813953,0.005617978
"Rock_2022",0.017857143,0.016666667
"Quarry_2022",0.005882353,0.007575758
"Goatgrass_2022",0.005102041,0.005
"Long_2022",0.006944444,0.006493506
"Aikawa_2022",0.005347594,0.007092199
"Quarry1_2023",0.004048583,0.003921569
"Bertha_2023",0.005847953,0.004608295
"Rock_2023",0.02,0.015625
"Rock_2024",0.008695652,0.012048193
"Upper_Grid_2_2024",0.025,0.02173913
"Felch_2024",0.010204082,0.007462687
"Coyote_2024",0.011363636,0.010638298
"Aikawa_2024",0.008130081,0.008130081
"Goatgrass_2024",0.006535948,0.007751938
"South_Goatgrass_2024",0.011764706,0.00990099
"Anu_2024",0.006944444,0.008474576
"Quarry1_2024",0.00862069,0.00862069
"Quarry2_2024",0.010989011,0.009345794
"Quarry3_2024",0.022222222,0.019607843
"Quarry4_2024",0.023255814,0.028571429
"Quarry5_2024",0.005263158,0.009433962
