"","Acmaeodera_sp.","Adela_eldorada","Andrena_dissona","Andrena_pensilis","Andrena_plana","Andrena_sp.","Andrena_subchalybea","Anthophora_californica","Apis_mellifera","Autographa_californica","Bombus_californicus","Bombus_melanopygus","Bombus_vosnesenskii","Bombylius_major","Coenonympha_californica","Cyrtopogon_sp.","Diadasia_bituberculata","Elateridae","Eristalis_hirta","Eucera_actuosa","Eucera_frater_albopilosa","Euopeodes_fumipennis","Heliolonche_modiella","Helithodes_dimutiva","Junonia_grisea","Listrus_sp._1","Lycaenidae_sp.","Malachius_sp.","Mordellidae","Muscidae","Nomada_hesperia","Nomada-mimic_Syrphidae","Osmia_nemoris","Osmia_sanctaerosae","Osmia_sp.","Panurginus_sp.","Scaeva_affinis","silver_moth_Lepidoptera","Sphaerophoria_sp.","Sphex_sp.","Syrphidae","Tachnidae","Vanessa_cardui","Xylocopa_sonorina","Xylocopa_sp.","Xylocopa_tabaniformis"
"ACMO",0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"AGHE",3,0,0,3,0,0,21,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,9,2,0,13,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"DICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCI",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"ERGU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"EUSP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LACA",0,0,1,2,3,3,0,0,0,0,0,0,0,17,0,2,0,5,0,0,0,1,0,9,3,20,0,1,0,1,3,1,0,0,0,3,0,1,2,1,0,2,0,0,0,0
"LACH",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"LUMI",0,0,0,0,0,0,0,0,0,2,4,8,7,0,1,0,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0
"LUSU",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIDO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RACA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAOF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THCA",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5
"TRFU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRHI",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRLA",0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0
"VIVI",0,0,0,0,0,0,0,0,67,0,2,69,11,0,0,0,0,0,0,13,3,2,0,1,0,0,0,0,0,1,1,0,0,4,1,0,4,0,0,0,0,0,1,0,0,0
