Year,Month,Day,Tranesect,Site,Patch_ID,PLANT,Floral_Abundance,Notes,,,,,,,,
2023,5,19,focal_obs,,5_M_array,ACBR,100,,,,,,,,,
2023,5,22,focal_obs,,5_M_array,ACBR,100,,,,,,,,,
2023,5,23,focal_obs,,5_M_array,ACBR,100,,,,,,,,,
2023,5,22,focal_obs,,50_M_array,ACBR,500,,,,,,,,,
2023,4,20,2,Upper_Grid_1,,ACBR,5,,,,,,,,,
2023,4,20,3,Upper_Grid_1,,ACBR,20,,,,,,,,,
2023,4,20,4,Upper_Grid_1,,ACBR,5,,,,,,,,,
2023,4,22,1,Upper_Seep,,ACBR,1200,,,,,,,,,
2023,4,22,4,Upper_Seep,,ACBR,70,,,,,,,,,
2023,4,22,5,Upper_Seep,,ACBR,5,,,,,,,,,
2023,4,28,3,Quarry_2,,ACBR,100,fuzzy,,,,,,,,
2023,4,28,4,Quarry_2,,ACBR,50,,,,,,,,,
2023,4,28,3,Quarry_1,,ACBR,30,,,,,,,,,
2023,4,27,Focal_Obs_1M,UG2,,ACBR,20,,,,,,,,,
2023,4,22,2,Rock,,ACBR,50,,,,,,,,,
2023,4,20,4,Upper_Seep,,ACME,15,,,,,,,,,
2023,4,20,1,Upper_Grid_2,,ACME,50,,,,,,,,,
2023,4,20,2,Upper_Grid_2,,ACME,50,,,,,,,,,
2023,4,20,3,Upper_Grid_2,,ACME,700,,,,,,,,,
2023,4,20,4,Upper_Grid_2,,ACME,100,,,,,,,,,
2023,4,20,5,Upper_Grid_2,,ACME,150,probably acmispon,,,,,,,,
2023,4,20,5,Upper_Grid_1,,ACME,20,,,,,,,,,
2023,4,20,1,Upper_Seep,,ACME,4300,,,,,,,,,
2023,4,24,4,Upper_Grid_2,,ACWR,335,,,,,,,,,
2023,4,24,5,Upper_Grid_2,,ACWR,140,,,,,,,,,
2023,4,24,2,Rock,,ACWR,50,,,,,,,,,
2023,4,24,3,Rock,,ACWR,55,,,,,,,,,
2023,4,24,4,Rock,,ACWR,1,,,,,,,,,
2023,4,24,5,Rock,,ACWR,20,,,,,,,,,
2023,4,24,2,Upper_Grid_1,,ACWR,4,,,,,,,,,
2023,4,24,3,Upper_Grid_1,,ACWR,17,,,,,,,,,
2023,4,24,4,Upper_Grid_1,,ACWR,8,,,,,,,,,
2023,4,24,5,Upper_Grid_1,,ACWR,35,,,,,,,,,
2023,4,24,1,Upper_Grid_2,,ACWR,450,,,,,,,,,
2023,4,24,2,Upper_Grid_2,,ACWR,130,,,,,,,,,
2023,4,24,3,Upper_Grid_2,,ACWR,500,,,,,,,,,
2023,4,26,2,Rock,,ACWR,340,,,,,,,,,
2023,4,26,3,Rock,,ACWR,20,,,,,,,,,
2023,4,26,4,Rock,,ACWR,25,,,,,,,,,
2023,4,27,4,Upper_Seep,,ACWR,20,,,,,,,,,
2023,4,28,1,Quarry_2,,ACWR,3,,,,,,,,,
2023,4,28,2,Quarry_2,,ACWR,2,,,,,,,,,
2023,4,28,3,Quarry_2,,ACWR,100,,,,,,,,,
2023,4,28,4,Quarry_2,,ACWR,100,,,,,,,,,
2023,4,28,5,Quarry_1,,ACWR,6,,,,,,,,,
2023,4,27,Transect_5,UG1,,ACWR,10,,,,,,,,,
2023,4,27,Focal_Obs_50,UG2,,ACWR,10,,,,,,,,,
2023,4,27,Focal_Obs_5,UG2,,ACWR,20,,,,,,,,,
2023,4,26,Focal_Obs_50,UG2,,ACWR,2,,,,,,,,,
2023,4,26,Focal_Obs_1M,UG2,,ACWR,44,,,,,,,,,
2023,4,26,Focal_Obs_5,UG2,,ACWR,50,,,,,,,,,
2023,4,24,Focal_Obs_50,UG2,,ACWR,2,,,,,,,,,
2023,4,24,Focal_Obs_5,UG2,,ACWR,5,,,,,,,,,
2023,4,24,Focal_Obs_1M,UG2,,ACWR,3,,,,,,,,,
2023,4,23,2,Upper_Seep,,ACWR,1,,,,,,,,,
2023,4,29,Focal_Obs_1M,UG2,,ACWR,3,,,,,,,,,
2023,4,29,Focal_Obs_5,UG2,,ACWR,3,,,,,,,,,
2023,4,20,1,Upper_Grid_1,,agag,1,,,,,,,,,
