Year,Month,Day,Transect,Site,Patch_ID,PLANT,Floral_Abundance,Notes,,
2024,4,15,1,Quarry_1,Q1,TRFU,111,,,
2024,4,15,1,Quarry_1,Q1,VIVI,58,,,
2024,4,15,4,Upper_Grid_2,UG2_2,VIVI,200,"150 in transect, 200 total in whole patch",,
2024,4,15,4,Upper_Grid_2,UG2_2,TRFU,105,total,,
2024,4,15,2,Upper_Grid_2,UG2_1,VIVI,300,,,
2024,4,15,,,,TRFU,110,60 in transect 1 and 50 in transect 2,,
2024,4,15,4,Rock,,PHIM,8,,,
2024,4,15,4,Rock,R1,VIVI,254,,,
2024,4,15,"1,2,3",Rock,R1,TRFU,255,,,
2024,4,16,"1,2,3",Rock,R1,TRFU,175,,,
2024,4,16,4,Rock,R1,VIVI,250,,,
2024,4,16,total,Quarry_2,Q2,TRFU,100,,,
2024,4,16,total,Quarry_2,Q2,VIVI,300,,,
2024,4,16,1,Quarry_5,Q5,TRFU,200,,,
2024,4,16,2,Quarry_5,Q5,TRFU,200,,,
2024,4,16,"1,2",Quarry_5,Q5,VIVI,1,,,
2024,4,16,3,Quarry_5,Q5,TRFU,60,,,
2024,4,16,3,Quarry_5,Q5,VIVI,2,satillite vetch,,
2024,4,16,total,Quarry_3,Q3,TRFU,197,,,
2024,4,16,total,Quarry_3,Q3,VIVI,130,,,
2024,4,16,1,Quarry_4,Q4,VIVI,100,,,
2024,4,16,1,Quarry_4,Q4,TRFU,105,,,
2024,4,16,1,Quarry_4,Q4,VIVI,10,,,
2024,4,16,2,Quarry_4,Q4,TRFU,128,,,
2024,4,16,2,Quarry_4,Q4,VIVI,0,,,
2024,4,16,2,Quarry_4,Q4,ESCA,5,,,
2024,4,16,2,Quarry_4,Q4,ERCI,9,,,
2024,4,18,1,Quarry_5,Q5,DICA,106,focals closed unless noted,,
2024,4,18,1,Quarry_5,Q5,TRFU,180,,,
2024,4,18,1,Quarry_5,Q5,VIVI,0,only buds,,
2024,4,18,1,Quarry_5,Q5,LUBI,3,,,
2024,4,18,1,Quarry_5,Q5,LUSU,1,,,
2024,4,18,1,Quarry_5,Q5,TRDU,2,,,
2024,4,18,1,Quarry_5,Q5,LACA,50,,,
2024,4,18,1,Quarry_5,Q5,PLER,30,,,
2024,4,18,"2,3",Quarry_5,Q5,TRFU,500,,,
2024,4,18,"2,3",Quarry_5,Q5,DICA,400,,,
2024,4,18,"2,3",Quarry_5,Q5,LACA,500,,,
2024,4,18,2,Quarry_5,Q5,EUSP,50,,,
2024,4,18,2,Quarry_5,Q5,ACWR,1,,,
2024,4,18,3,Quarry_5,Q5,VIVI,11,,,
2024,4,18,3,Quarry_5,Q5,EUSP,3,,,
2024,4,18,3,Quarry_5,Q5,CARU,10,,,
2024,4,18,1,Quarry_2,Q2,VIVI,1000,,,
2024,4,18,1,Quarry_2,Q2,TRFU,125,,,
2024,4,18,1,Quarry_2,Q2,LACA,130,,,
2024,4,18,1,Quarry_2,Q2,DICA,14,,,
2024,4,18,1,Quarry_2,Q2,CADE,71,,,
2024,4,18,1,Quarry_2,Q2,TRDU,43,,,
2024,4,18,1,Quarry_2,Q2,PLER,200,,,
2024,4,18,1,Quarry_2,Q2,ACWR,6,,,
2024,4,18,1,Quarry_2,Q2,LUSU,1,,,
2024,4,18,1,Quarry_2,Q2,LUBI,4,,,
2024,4,18,1,Quarry_4,Q4,VIVI,44,,,
2024,4,18,1,Quarry_4,Q4,DICA,10,,,
2024,4,18,1,Quarry_4,Q4,TRFU,88,,,
2024,4,18,1,Quarry_4,Q4,MEPO,100,,,
2024,4,18,1,Quarry_4,Q4,LUSU,1,,,
2024,4,18,1,Quarry_4,Q4,LUBI,1,,,
2024,4,18,1,Quarry_4,Q4,ACWR,6,,,
2024,4,18,1,Quarry_4,Q4,hairypink,2,,,
2024,4,18,1,Quarry_4,Q4,TRHI,1,,,
2024,4,18,1,Quarry_4,Q4,PLER,100,,,
2024,4,18,2,Quarry_4,Q4,TRFU,23,,,
2024,4,18,2,Quarry_4,Q4,LUSU,1,,,
2024,4,18,2,Quarry_4,Q4,ESCA,4,,,
2024,4,18,2,Quarry_3,Q3,TRFU,150,"focals done unless otherwise noted, handwriting hard to read",,
2024,4,18,2,Quarry_3,Q3,TRDU,2,,,
2024,4,18,2,Quarry_3,Q3,ACBR,22,,,
