"Site","Year","PLANT","mean_floral_abundance"
"",2023,"ACBR",266.666666666667
"",2023,"AGHE",4
"",2023,"ERCI",9
"",2023,"ESCA",11.3333333333333
"",2023,"MIDO",10
"",2023,"PLER",700
"",2023,"SEVU",100
"",2023,"Sidalcea",55
"",2023,"TRHI",5.66666666666667
"",2023,"VIVI",171.666666666667
"",2024,"TRFU",110
"Aikawa",2022,"ACBR",67.25
"Aikawa",2022,"ACWR",300
"Aikawa",2022,"AGHE",336.666666666667
"Aikawa",2022,"AMME",78.2
"Aikawa",2022,"ANAR",285
"Aikawa",2022,"ANFI",202
"Aikawa",2022,"ASBR",20
"Aikawa",2022,"ASJE",20
"Aikawa",2022,"CAME",20
"Aikawa",2022,"CARU",50.2
"Aikawa",2022,"COSP",1000
"Aikawa",2022,"CRHI",40
"Aikawa",2022,"DEUL",45
"Aikawa",2022,"DEVA",3
"Aikawa",2022,"DICA",53.2
"Aikawa",2022,"ERCI",43.3333333333333
"Aikawa",2022,"ERGU",71.2
"Aikawa",2022,"ESCA",50
"Aikawa",2022,"EUCR",636
"Aikawa",2022,"GEDI",70
"Aikawa",2022,"GICA",6
"Aikawa",2022,"LACA",363
"Aikawa",2022,"LUBI",218.166666666667
"Aikawa",2022,"LUMI",50
"Aikawa",2022,"LUSU",31.5
"Aikawa",2022,"MEIN",52.5
"Aikawa",2022,"MEPO",76.6666666666667
"Aikawa",2022,"MICA",300
"Aikawa",2022,"PLER",272
"Aikawa",2022,"RACA",157
"Aikawa",2022,"SIBE",85.5
"Aikawa",2022,"Sidalcea",30.6666666666667
"Aikawa",2022,"THCA",1
"Aikawa",2022,"TOFR",4.33333333333333
"Aikawa",2022,"TRAL",5
"Aikawa",2022,"TRFU",6253.33333333333
"Aikawa",2022,"TRGR",94
"Aikawa",2022,"VIDO",1
"Aikawa",2022,"VISA",10
"Aikawa",2022,"VIVI",973.833333333333
"Aikawa",2024,"ACMO",22.2
"Aikawa",2024,"ACWR",1
"Aikawa",2024,"AGHE",14
"Aikawa",2024,"ANAR",20
"Aikawa",2024,"CARU",2.25
"Aikawa",2024,"CASU",1
"Aikawa",2024,"COSP",37
"Aikawa",2024,"DEVA",113.4
"Aikawa",2024,"ERCI",5.5
