metric,site,raw_value,z-score,treatment,pvalue,significance
weighted NODF,Bertha_2022,21.73116,1.987875198,Bertha_2022,0.046825494,*
weighted NODF,Rock_2022,17.83504,-2.568138177,Rock_2022,0.010224639,*
weighted NODF,Quarry_2022,7.77575,-2.70091453,Quarry_2022,0.006914911,**
weighted NODF,Goatgrass_2022,16.97873,3.257044416,Goatgrass_2022,0.001125788,**
weighted NODF,Long_2022,13.25361,-0.701946867,Long_2022,0.4827123,not significant
weighted NODF,Aikawa_2022,14.54812,-1.565401814,Aikawa_2022,0.117488723,not significant
weighted NODF,Bertha_2023,11.24413,0.975799168,Bertha_2023,0.329163997,not significant
weighted NODF,Quarry1_2023,7.673616,1.037974914,Quarry1_2023,0.299281734,not significant
weighted NODF,Rock_2023,19.89362,-0.264959415,Rock_2023,0.791040727,not significant
weighted NODF,Rock_2024,8.544495,-0.954585426,Rock_2024,0.33978739,not significant
weighted NODF,Upper_Grid_2_2024,19.22123,-0.355551633,Upper_Grid_2_2024,0.722176371,not significant
weighted NODF,Felch_2024,9.181655,-1.945439236,Felch_2024,0.051722136,not significant
weighted NODF,Coyote_24,9.678114,-1.891177853,Coyote_24,0.058600607,not significant
weighted NODF,Aikawa_2024,6.6333,-0.70674091,Aikawa_2024,0.479727501,not significant
weighted NODF,Goatgrass_2024,21.60792,4.316473782,Goatgrass_2024,1.59E-05,***
weighted NODF,South_Goatgrass_2024,12.50612,-2.890716431,South_Goatgrass_2024,0.003843648,**
weighted NODF,Anu_2024,25.95801,-1.404892954,Anu_2024,0.160053112,not significant
weighted NODF,Quarry_1_2024,12.77715,-0.615372119,Quarry_1_2024,0.538309,not significant
weighted NODF,Quarry_2_2024,9.256674,-2.764828239,Quarry_2_2024,0.005695278,**
weighted NODF,Quarry_3_2024,21.12166,-0.908167572,Quarry_3_2024,0.363789694,not significant
weighted NODF,Quarry_4_2024,13.21138,0.439338778,Quarry_4_2024,0.66041608,not significant
weighted NODF,Quarry_5_2024,18.48926,-1.249639625,Quarry_5_2024,0.211431221,not significant
NODF,Bertha_2022,38.46364,5.039232044,Bertha_2022,4.67E-07,***
NODF,Rock_2022,38.56153,-0.832453435,Rock_2022,0.405153051,not significant
NODF,Quarry_2022,18.33997,-1.443559194,Quarry_2022,0.14886301,not significant
NODF,Goatgrass_2022,29.83562,6.385902841,Goatgrass_2022,1.70E-10,***
NODF,Long_2022,21.29052,0.231230046,Long_2022,0.817136089,not significant
NODF,Aikawa_2022,23.50887,-1.304222232,Aikawa_2022,0.192157822,not significant
NODF,Bertha_2023,21.51485,4.263677049,Bertha_2023,2.01E-05,***
NODF,Quarry1_2023,16.53545,7.188222103,Quarry1_2023,6.56E-13,***
NODF,Rock_2023,23.29787,-2.214868951,Rock_2023,0.026769061,*
NODF,Rock_2024,16.57617,-0.010812414,Rock_2024,0.99137311,not significant
NODF,Upper_Grid_2_2024,32.98611,2.482644235,Upper_Grid_2_2024,0.013041126,*
NODF,Felch_2024,13.79197,-3.817514518,Felch_2024,0.000134803,***
NODF,Coyote_24,19.81456,-0.675140058,Coyote_24,0.499586785,not significant
NODF,Aikawa_2024,13.52186,2.038088909,Aikawa_2024,0.041541042,*
NODF,Goatgrass_2024,32.04257,6.941354242,Goatgrass_2024,3.88E-12,***
NODF,South_Goatgrass_2024,27.35823,-0.939134622,South_Goatgrass_2024,0.34766163,not significant
NODF,Anu_2024,43.10525,0.79737231,Anu_2024,0.425234836,not significant
NODF,Quarry_1_2024,25.92236,1.330377467,Quarry_1_2024,0.183393935,not significant
NODF,Quarry_2_2024,24.33801,-0.723910728,Quarry_2_2024,0.469120543,not significant
NODF,Quarry_3_2024,37.01662,0.115655697,Quarry_3_2024,0.907925419,not significant
