metric,site,raw_value,z-score,treatment,pvalue,significance
weighted NODF,Bertha_2022,10.54703,-1.916344393,Bertha_2022,0.055321274,not significant
weighted NODF,Randy_2022,23.08574,0.422723776,Randy_2022,0.672496807,not significant
weighted NODF,Quarry_Close_2022,27.84326,0.83145357,Quarry_Close_2022,0.405717447,not significant
weighted NODF,Quarry_Far_2022,24.74507,-0.64488474,Quarry_Far_2022,0.519001882,not significant
weighted NODF,Banana_2022,21.40885,-1.395142777,Banana_2022,0.162972789,not significant
weighted NODF,Lower_Banana_2022,14.693,0.291279028,Lower_Banana_2022,0.770837925,not significant
weighted NODF,Aikawa_2022,17.15258,4.651654288,Aikawa_2022,3.29E-06,***
weighted NODF,Vineyard_2022,17.40278,-0.402054294,Vineyard_2022,0.687644069,not significant
weighted NODF,Pond_2022,16.67565,-1.550101571,Pond_2022,0.121117139,not significant
weighted NODF,Bertha_2023,19.98157,2.725792549,Bertha_2023,0.00641473,**
weighted NODF,Randy_2023,18.54256,0.960348785,Randy_2023,0.336879705,not significant
weighted NODF,Pond_2023,20.12609,1.277942279,Pond_2023,0.201269779,not significant
weighted NODF,Quarry_Close_2023,33.30253,-0.009248372,Quarry_Close_2023,0.992620972,not significant
weighted NODF,Quarry_Far_2023,27.37961,0.345412526,Quarry_Far_2023,0.729784262,not significant
weighted NODF,Bertha_2024,16.42878,-1.051581021,Bertha_2024,0.292991819,not significant
weighted NODF,Vineyard_2024,20.63271,1.385823715,Vineyard_2024,0.165800739,not significant
weighted NODF,Pond_2024,19.94709,-1.204323669,Pond_2024,0.228464502,not significant
weighted NODF,Quarry_Close_2024,35.3205,2.144155415,Quarry_Close_2024,0.032020436,*
weighted NODF,Quarry_Far_2024,21.72619,-1.311138544,Quarry_Far_2024,0.189810961,not significant
NODF,Bertha_2022,25.63448,2.00060031,Bertha_2022,0.04543548,*
NODF,Randy_2022,34.90145,0.378450673,Randy_2022,0.705095831,not significant
NODF,Quarry_Close_2022,42.38427,2.02410486,Quarry_Close_2022,0.042959364,*
NODF,Quarry_Far_2022,36.56798,-0.609822727,Quarry_Far_2022,0.541979245,not significant
NODF,Banana_2022,36.97478,0.861641245,Banana_2022,0.388884967,not significant
NODF,Lower_Banana_2022,26.12937,2.183076526,Lower_Banana_2022,0.029030175,*
NODF,Aikawa_2022,26.97106,5.368505773,Aikawa_2022,7.94E-08,***
NODF,Vineyard_2022,31.61458,1.069389591,Vineyard_2022,0.284894156,not significant
NODF,Pond_2022,31.2192,1.41344913,Pond_2022,0.157523709,not significant
NODF,Bertha_2023,32.37067,6.081843353,Bertha_2023,1.19E-09,***
NODF,Randy_2023,32.21805,2.386760156,Randy_2023,0.016997576,*
NODF,Pond_2023,30.37084,3.133945395,Pond_2023,0.001724729,**
NODF,Quarry_Close_2023,49.80559,1.914884032,Quarry_Close_2023,0.055507295,not significant
NODF,Quarry_Far_2023,43.05645,2.814261628,Quarry_Far_2023,0.004888942,**
NODF,Bertha_2024,34.28579,3.950485555,Bertha_2024,7.80E-05,***
NODF,Vineyard_2024,30.45477,2.870288989,Vineyard_2024,0.004100968,**
NODF,Pond_2024,38.62434,1.326610648,Pond_2024,0.184637512,not significant
NODF,Quarry_Close_2024,44.77292,2.879788504,Quarry_Close_2024,0.00397942,**
NODF,Quarry_Far_2024,43.75,0.500782748,Quarry_Far_2024,0.616524028,not significant
niche.overlap.LL,Bertha_2022,0.2826499,1.399821349,Bertha_2022,0.161566823,not significant
niche.overlap.LL,Randy_2022,0.2303291,-0.384604273,Randy_2022,0.700530628,not significant
niche.overlap.LL,Quarry_Close_2022,0.2351537,-0.171206487,Quarry_Close_2022,0.864061407,not significant
niche.overlap.LL,Quarry_Far_2022,0.2551283,-0.86956774,Quarry_Far_2022,0.384536674,not significant
niche.overlap.LL,Banana_2022,0.3160716,-0.622156564,Banana_2022,0.533838924,not significant
niche.overlap.LL,Lower_Banana_2022,0.2198925,1.313271593,Lower_Banana_2022,0.189091447,not significant
niche.overlap.LL,Aikawa_2022,0.6578156,4.242190638,Aikawa_2022,2.21E-05,***
niche.overlap.LL,Vineyard_2022,0.3044431,0.12570863,Vineyard_2022,0.89996257,not significant
niche.overlap.LL,Pond_2022,0.1869751,-0.067909803,Pond_2022,0.945857435,not significant
niche.overlap.LL,Bertha_2023,0.1589659,-0.846721979,Bertha_2023,0.397150105,not significant
niche.overlap.LL,Randy_2023,0.106188,0.357929975,Randy_2023,0.720395718,not significant
niche.overlap.LL,Pond_2023,0.1606569,2.017931051,Pond_2023,0.043598443,*
niche.overlap.LL,Quarry_Close_2023,0.2429646,-0.268973669,Quarry_Close_2023,0.787949945,not significant
