metric,site,raw_value
Ind_Contribution_CESO,Bertha_2022,-0.5135307
Ind_Contribution_CESO,Bertha_2023,4.849594
Ind_Contribution_CESO,Bertha_2024,0.7215357
Ind_Contribution_CESO,Quarry_Close_2022,2.87599491
Ind_Contribution_CESO,Quarry_Close_2023,0.7544674
Ind_Contribution_CESO,Quarry_Close_2024,2.0985498
Ind_Contribution_CESO,Quarry_Far_2022,0.85953644
Ind_Contribution_CESO,Quarry_Far_2023,0.04158613
Ind_Contribution_CESO,Quarry_Far_2024,0.5870759
Ind_Contribution_CESO,Randy_2022,1.524334
Ind_Contribution_CESO,Randy_2023,-1.4301452
Ind_Contribution_CESO,Pond_2022,1.725204348
Ind_Contribution_CESO,Pond_2023,3.09366101
Ind_Contribution_CESO,Pond_2024,-0.52791799
Ind_Contribution_CESO,Lower_Banana_2022,NA
Ind_Contribution_CESO,Aikawa_2022,0.5158509
Ind_Contribution_CESO,Banana_2022,NA
Ind_Contribution_CESO,Vineyard_2022,2.73342051
Ind_Contribution_CESO,Vineyard_2024,1.1014872
Ind_Contribution_HEEX,Bertha_2022,2.8170719
Ind_Contribution_HEEX,Bertha_2023,4.9334918
Ind_Contribution_HEEX,Bertha_2024,1.7172123
Ind_Contribution_HEEX,Quarry_Close_2022,5.57788872
Ind_Contribution_HEEX,Quarry_Close_2023,5.4257201
Ind_Contribution_HEEX,Quarry_Close_2024,3.9225776
Ind_Contribution_HEEX,Quarry_Far_2022,3.19547581
Ind_Contribution_HEEX,Quarry_Far_2023,4.86114596
Ind_Contribution_HEEX,Quarry_Far_2024,0.9910275
Ind_Contribution_HEEX,Randy_2022,3.6281229
Ind_Contribution_HEEX,Randy_2023,3.8955046
Ind_Contribution_HEEX,Pond_2022,3.160237105
Ind_Contribution_HEEX,Pond_2023,4.82138374
Ind_Contribution_HEEX,Pond_2024,2.81123824
Ind_Contribution_HEEX,Lower_Banana_2022,3.16858012
Ind_Contribution_HEEX,Aikawa_2022,3.0506851
Ind_Contribution_HEEX,Banana_2022,2.9855573
Ind_Contribution_HEEX,Vineyard_2022,2.09433332
Ind_Contribution_HEEX,Vineyard_2024,2.2539159
CESO_on_HEEX,Bertha_2022,0.03265508
CESO_on_HEEX,Bertha_2023,0.3530136
CESO_on_HEEX,Bertha_2024,0.2423779
CESO_on_HEEX,Pond_2022,0.3900137
CESO_on_HEEX,Pond_2023,0.2907732
CESO_on_HEEX,Pond_2024,0.007449128
CESO_on_HEEX,Randy_2022,0.05788036
CESO_on_HEEX,Randy_2023,0.002104468
CESO_on_HEEX,Vineyard_2022,0.5551724
CESO_on_HEEX,Vineyard_2024,0.1501155
CESO_on_HEEX,AIkawa_2022,0.01221719
CESO_on_HEEX,Quarry_Close_2022,0.3701494
CESO_on_HEEX,Quarry_Close_2023,0.1023297
CESO_on_HEEX,Quarry_Close_2024,0.1490282
CESO_on_HEEX,Quarry_Far_2022,0.09979449
CESO_on_HEEX,Quarry_Far_2023,0.1229927
CESO_on_HEEX,Quarry_Far_2024,0.1765873
HEEX_on_CESO,Bertha_2022,0.1006865
HEEX_on_CESO,Bertha_2023,0.1232367
HEEX_on_CESO,Bertha_2024,0.2796668
HEEX_on_CESO,Pond_2022,0.2773431
HEEX_on_CESO,Pond_2023,0.5319675
HEEX_on_CESO,Pond_2024,0.9534884
HEEX_on_CESO,Randy_2022,0.3847342
HEEX_on_CESO,Randy_2023,0.9512195
HEEX_on_CESO,Vineyard_2022,0.06344828
HEEX_on_CESO,Vineyard_2024,0.2651391
HEEX_on_CESO,AIkawa_2022,0.1615385
HEEX_on_CESO,Quarry_Close_2022,0.399914
HEEX_on_CESO,Quarry_Close_2023,0.8448147
HEEX_on_CESO,Quarry_Close_2024,0.3318205
HEEX_on_CESO,Quarry_Far_2022,0.5800555
HEEX_on_CESO,Quarry_Far_2023,0.6919677
HEEX_on_CESO,Quarry_Far_2024,0.2060185
